ip,blocked
103.35.216.0/24,1
103.35.219.0/24,1
103.36.64.0/22,1
103.36.70.0/24,1
103.36.250.0/24,1
103.37.4.0/22,1
103.37.22.0/23,1
103.37.88.0/22,1
103.37.96.0/23,1
103.37.98.0/24,1
103.37.184.0/22,1
103.37.202.0/23,1
103.38.8.0/24,1
103.38.52.0/22,1
103.38.108.0/22,1
103.38.180.0/22,1
103.38.208.0/22,1
103.38.216.0/23,1
103.38.220.0/22,1
103.38.236.0/22,1
103.38.244.0/22,1
103.38.248.0/22,1
103.39.32.0/22,1
103.39.68.0/22,1
103.39.72.0/22,1
103.39.120.0/23,1
103.39.124.0/22,1
103.39.144.0/22,1
103.39.196.0/22,1
103.40.52.0/23,1
103.40.156.0/22,1
103.40.166.0/23,1
103.41.72.0/21,1
103.41.92.0/22,1
103.41.112.0/22,1
103.41.168.0/24,1
103.41.248.0/22,1
103.42.4.0/22,1
103.42.12.0/22,1
103.42.18.0/24,1
103.42.50.0/23,1
103.42.52.0/22,1
103.42.60.0/22,1
103.42.128.0/22,1
103.42.164.0/22,1
103.42.200.0/22,1
103.42.204.0/24,1
103.42.220.0/22,1
103.42.228.0/22,1
103.42.240.0/21,1
103.43.24.0/22,1
103.43.60.0/22,1
103.43.94.0/23,1
103.43.164.0/22,1
103.44.8.0/22,1
103.44.19.0/24,1
103.44.152.0/22,1
103.46.4.0/22,1
103.46.8.0/22,1
103.46.184.0/22,1
103.46.199.0/24,1
103.47.8.0/22,1
103.47.128.0/22,1
103.47.180.0/22,1
103.48.40.0/22,1
103.48.117.0/24,1
103.48.160.0/22,1
103.48.200.0/24,1
103.49.48.0/22,1
103.49.70.0/23,1
103.49.100.0/22,1
103.49.112.0/22,1
103.49.124.0/23,1
103.49.146.0/24,1
103.49.150.0/24,1
103.49.164.0/22,1
103.49.236.0/22,1
103.50.20.0/22,1
103.50.149.0/24,1
103.51.62.0/23,1
103.51.84.0/22,1
103.51.88.0/22,1
103.51.96.0/22,1
103.51.104.0/22,1
103.51.120.0/22,1
103.51.129.0/24,1
103.51.204.0/22,1
103.52.4.0/23,1
103.52.6.0/24,1
103.52.63.0/24,1
103.52.112.0/22,1
103.52.133.0/24,1
103.53.28.0/22,1
103.53.156.0/22,1
103.53.160.0/22,1
103.54.76.0/22,1
103.54.80.0/22,1
103.54.108.0/23,1
103.54.168.0/22,1
103.54.176.0/22,1
103.54.228.0/22,1
103.55.4.0/22,1
103.55.20.0/22,1
103.55.178.0/24,1
103.55.224.0/22,1
103.55.240.0/22,1
103.55.248.0/21,1
103.56.0.0/22,1
103.56.80.0/22,1
103.56.92.0/22,1
